cause,verbatimIdentification,measurementType,measurementValue,pred_collision_value,closest_pred_species,closest_score,severity,reasoning
"species present, trait missing",Macaria alternata,Oviposition and larval feeding location,"oviposition and larval feeding predominately occur well above ground (>100cm), thus hardly threatened by flood events.",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Noctua interposita,Hibernation in pupal stage rceorded,No,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Scopula virgulata,Larval feeding on herbs,"larvae mainly on woody plants, but also recorded from herbaceous plants",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Perizoma hydrata,Larval socialization,larvae feed solitarily,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Acronicta auricoma,Larval feeding on broadleaved trees and shrubs,larvae only feed on trees and shrubs.,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Xestia triangulum,Larva Feeding Place,larvae are external feeders throughout their life,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Hydraecia micacea,Larval feeding on lianas,"larvae not known to feed on the few lianas native to Central Europe (Clematis vitalba, Hedera helix) which are common in floodplain forests",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Selenia tetralunaria,Larval feeding on herbs,larvae exclusively feed on woody plants,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Triodia sylvina,Hibernation as an adult recorded,No,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Eudonia lacustrata,Larval feeding on broadleaved trees and shrubs,caterpillars do not feed on woody deciduous plants in nature,,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Trachea atriplicis,Hibernation in egg stage recorded,No,no hibernation in egg stage recorded,,,moderate,predicted a different value for this trait
"species present, trait missing",Agrotis cinerea,Pupation Site,"pupation site in or close to ground in low vegetation (<30 cm), thus prone to flood events.",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Catoptria falsella,Larval feeding on broadleaved trees and shrubs,caterpillars do not feed on woody deciduous plants in nature,,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Plagodis dolabraria,Hibernation in egg stage recorded,No,no hibernation in egg stage recorded,,,moderate,predicted a different value for this trait
"species present, trait missing",Lymantria dispar,Migration,"species not migratory, even though dispersive adults may show up far away from their breeding grounds",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Udea elutalis,Larval feeding on aquatic reed,larva on terrestrial plants,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Conisania luteago,Larval Feeding on mosses and lychens,larvae feed on vascular plants,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Noctua interposita,Larval Feeding on dead plant matter,larvae feed on living plant tissues,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Conistra vaccinii,Larval Feeding on mosses and lychens,larvae feed on vascular plants,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Scopula rubiginata,Larval feeding on broadleaved trees and shrubs,caterpillars do not feed on woody deciduous plants in nature,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Caradrina clavipalpis,Migration,"species not migratory, even though dispersive adults may show up far away from their breeding grounds",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Cosmia affinis,Larval feeding on herbs,larvae exclusively feed on woody plants,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Mythimna albipuncta,Development of female wings,females with wings well developed,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Furcula furcula,Larval feeding on aquatic reed,larva on terrestrial plants,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Cabera pusaria,Larva Feeding Place,larvae are external feeders throughout their life,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Anania coronata,Development of female wings,females with wings well developed,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Acasis viretata,Development of female wings,females with wings well developed,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Polyphaenis sericata,Larval Feeding on grasses,"larvae never feed on graminoid plants (Poaceae, Cyperaceae, Juncaceae)",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Cryphia algae,Larval feeding on herbs,larvae exclusively feed on woody plants,,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Pyralis farinalis,Hibernation in larval state recorded,Yes,hibernation in larval stage recorded,,,moderate,predicted a different value for this trait
"species present, trait missing",Chloroclysta siterata,Larva Feeding Place,larvae are external feeders throughout their life,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Gandaritis pyraliata,Larval Feeding on softwood trees,"larval host range does not include softwood trees, which are characteristic elements of floodplain forest vegetation (viz. Populus, Salix, Alnus)",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Orthosia cruda,Development of female wings,females with wings well developed,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Acronicta megacephala,Larva Feeding Place,larvae are external feeders throughout their life,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Mesoleuca albicillata,Larval feeding on lianas,"larvae not known to feed on the few lianas native to Central Europe (Clematis vitalba, Hedera helix) which are common in floodplain forests",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Mimas tiliae,Larval Feeding on grasses,"larvae never feed on graminoid plants (Poaceae, Cyperaceae, Juncaceae)",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Mesapamea secalis,Larval feeding on aquatic reed,larva on terrestrial plants,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Agrochola circellaris,Larval Feeding on grasses,"larvae never feed on graminoid plants (Poaceae, Cyperaceae, Juncaceae)",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Diachrysia chrysitis,Larval feeding on lianas,"larvae not known to feed on the few lianas native to Central Europe (Clematis vitalba, Hedera helix) which are common in floodplain forests",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Gortyna flavago,Hibernation as an adult recorded,No,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Chiasmia clathrata,Larval feeding on aquatic reed,larva on terrestrial plants,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Macdunnoughia confusa,Larval feeding on lianas,larvae exclusively feed on these lianas.,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Leucoma salicis,Larval feeding on broadleaved trees and shrubs,larvae only feed on trees and shrubs.,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Jodis lactearia,Larva Feeding Place,larvae are external feeders throughout their life,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Eucarta virgo,Hibernation in pupal stage rceorded,Yes,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Polyphaenis sericata,Larval habitat (above or below ground),larvae live above ground (except perhaps for pupation),,,,moderate,the trait was not extracted for this species
"species present, trait missing",Ephestia unicolorella woodiella,Adult feeding,adults feed on flower nectar,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Allophyes oxyacanthae,Larval feeding on aquatic reed,larva on terrestrial plants,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Luperina testacea,Larval feeding on aquatic reed,larva on terrestrial plants,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Mimas tiliae,Larval habitat (above or below ground),larvae live above ground (except perhaps for pupation),,,,moderate,the trait was not extracted for this species
"species present, trait missing",Agrochola circellaris,Larval habitat (above or below ground),larvae live above ground (except perhaps for pupation),,,,moderate,the trait was not extracted for this species
"species present, trait missing",Ligdia adustata,Larval feeding on lianas,"larvae not known to feed on the few lianas native to Central Europe (Clematis vitalba, Hedera helix) which are common in floodplain forests",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Eilema griseola,Larva Feeding Place,larvae are external feeders throughout their life,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Horisme tersata,Larval feeding on lianas,larvae exclusively feed on these lianas.,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Lomographa temerata,Larva Feeding Place,larvae are external feeders throughout their life,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Cepphis advenaria,Oviposition and larval feeding location,"oviposition and larval feeding predominately occur in the herb layer (<50 cm), thus prone to flood events",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Charanyca ferruginea,Oviposition and larval feeding location,"oviposition and larval feeding predominately occur in the herb layer (<50 cm), thus prone to flood events",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Cadra furcatella,Larval feeding on lianas,"larvae not known to feed on the few lianas native to Central Europe (Clematis vitalba, Hedera helix) which are common in floodplain forests",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Laodamia faecella,Oviposition and larval feeding location,"oviposition and larval feeding predominately occur well above ground (>100cm), thus hardly threatened by flood events.",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Eucarta virgo,Larval Feeding on dead plant matter,larvae feed on living plant tissues,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Horisme corticata,Hibernation in pupal stage rceorded,Yes,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Catephia alchymista,Hibernation in pupal stage rceorded,Yes,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Acronicta rumicis,Migration,"species not migratory, even though dispersive adults may show up far away from their breeding grounds",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Spilosoma lubricipeda,Larval Feeding on grasses,larvae exclusively known to feed on graminoid plants in nature,,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Acontia trabealis,Number of host plant families recorded in evaluated sources. ,1 genus,0.5,,,moderate,predicted a different value for this trait
"species present, trait missing",Gandaritis pyraliata,Larval feeding on herbs,larvae only feed on herbaceous plants.,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Hoplodrina ambigua,Hibernation as an adult recorded,No,,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Eilema sororcula,Hibernation in larval state recorded,No,no hibernation in larval stage recorded,,,moderate,predicted a different value for this trait
"species present, trait missing",Idaea muricata,Hibernation in pupal stage rceorded,No,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Camptogramma bilineata,Development of female wings,females with wings well developed,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Hydriomena furcata,Hibernation as an adult recorded,No,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Oligia versicolor,Oviposition and larval feeding location,"oviposition and larval feeding predominately occur in the herb layer (<50 cm), thus prone to flood events",,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Xestia sexstrigata,Hibernation in larval state recorded,Yes,hibernation in larval stage recorded,,,moderate,predicted a different value for this trait
"species present, trait missing",Chrysoteuchia culmella,Development of female wings,females with wings well developed,,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Udea fulvalis,Hibernation in egg stage recorded,No,no hibernation in egg stage recorded,,,moderate,predicted a different value for this trait
"species present, trait missing",Lomographa bimaculata,Migration,"species not migratory, even though dispersive adults may show up far away from their breeding grounds",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Spilosoma lubricipeda,Larval habitat (above or below ground),larvae live above ground (except perhaps for pupation),,,,moderate,the trait was not extracted for this species
"species present, trait missing",Horisme corticata,Larval Feeding on dead plant matter,larvae feed on living plant tissues,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Pyralis regalis,Hibernation in pupal stage rceorded,No,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Catephia alchymista,Larval Feeding on dead plant matter,larvae feed on living plant tissues,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Orthonama obstipata,Larval socialization,larvae feed solitarily,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Deltote pygarga,Larval Feeding on softwood trees,"larval host range does not include softwood trees, which are characteristic elements of floodplain forest vegetation (viz. Populus, Salix, Alnus)",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Eupithecia satyrata,Adult feeding,adults feed on flower nectar,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Apamea epomidion,Hibernation as an adult recorded,No,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Nephopterix angustella,Larval feeding on lianas,"larvae not known to feed on the few lianas native to Central Europe (Clematis vitalba, Hedera helix) which are common in floodplain forests",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Plemyria rubiginata,Larval feeding on herbs,larvae exclusively feed on woody plants,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Idaea muricata,Larval Feeding on dead plant matter,larvae feed on withered plants or on leaf litter and alike.,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Mythimna vitellina,Pupation Site,"pupation site in or close to ground in low vegetation (<30 cm), thus prone to flood events.",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Apamea monoglypha,Migration,"species not migratory, even though dispersive adults may show up far away from their breeding grounds",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Laothoe populi,Larval feeding on lianas,"larvae not known to feed on the few lianas native to Central Europe (Clematis vitalba, Hedera helix) which are common in floodplain forests",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Lampropteryx suffumata,Larval feeding on broadleaved trees and shrubs,caterpillars do not feed on woody deciduous plants in nature,,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Euproctis similis,Hibernation in egg stage recorded,No,no hibernation in egg stage recorded,,,moderate,predicted a different value for this trait
"species present, trait missing",Melanchra persicariae,Adult feeding,adults feed on flower nectar,,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Amphipyra livida,Hibernation in larval state recorded,Yes,hibernation in larval stage recorded,,,moderate,predicted a different value for this trait
"species present, trait missing",Apamea unanimis,Larval Feeding on mosses and lychens,larvae feed on vascular plants,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Pyralis regalis,Larval Feeding on dead plant matter,larvae feed on withered plants or on leaf litter and alike.,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Xestia baja,Development of female wings,females with wings well developed,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Idaea rubraria,Oviposition and larval feeding location,"oviposition and larval feeding predominately occur in the herb layer (<50 cm), thus prone to flood events",,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Hoplodrina octogenaria,Hibernation in larval state recorded,Yes,hibernation in larval stage recorded,,,moderate,predicted a different value for this trait
"species present, trait missing",Ematheudes punctella,Migration,"species not migratory, even though dispersive adults may show up far away from their breeding grounds",,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Euchoeca nebulata,Hibernation in egg stage recorded,No,no hibernation in egg stage recorded,,,moderate,predicted a different value for this trait
"species present, trait missing",Sciota rhenella,Larval feeding on lianas,"larvae not known to feed on the few lianas native to Central Europe (Clematis vitalba, Hedera helix) which are common in floodplain forests",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Idaea trigeminata,Pupation Site,"pupation site in or close to ground in low vegetation (<30 cm), thus prone to flood events.",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Evergestis pallidata,Larval feeding on aquatic reed,larva on terrestrial plants,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Cilix glaucatus,Larva Feeding Place,larvae are external feeders throughout their life,,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Eupithecia inturbata,Number of host plant families recorded in evaluated sources. ,1 genus,0.5,,,moderate,predicted a different value for this trait
"species present, trait missing",Pterostoma palpina,Larval Feeding on mosses and lychens,larvae feed on vascular plants,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Orthosia incerta,Larval Feeding on grasses,"larvae never feed on graminoid plants (Poaceae, Cyperaceae, Juncaceae)",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Dysauxes ancilla,Migration,"species not migratory, even though dispersive adults may show up far away from their breeding grounds",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Galleria mellonella,Larval feeding on aquatic reed,larva on terrestrial plants,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Sabra harpagula,Hibernation in pupal stage rceorded,Yes,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Phycita roborella,Larval Feeding on softwood trees,"larval host range does not include softwood trees, which are characteristic elements of floodplain forest vegetation (viz. Populus, Salix, Alnus)",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Orgyia antiqua,Larval Feeding on mosses and lychens,larvae feed on vascular plants,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Gluphisia crenata,Oviposition and larval feeding location,"oviposition and larval feeding predominately occur well above ground (>100cm), thus hardly threatened by flood events.",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Udea ferrugalis,Larval Feeding on softwood trees,"larval host range does not include softwood trees, which are characteristic elements of floodplain forest vegetation (viz. Populus, Salix, Alnus)",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Lacanobia w-latinum,Development of female wings,females with wings well developed,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Xanthorhoe fluctuata,Oviposition and larval feeding location,"oviposition and larval feeding predominately occur in the herb layer (<50 cm), thus prone to flood events",,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Parastichtis suspecta,Hibernation in larval state recorded,No,no hibernation in larval stage recorded,,,moderate,predicted a different value for this trait
"species present, trait missing",Cataclysta lemnata,Larval Feeding on mosses and lychens,larvae feed on vascular plants,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Orthosia incerta,Larval habitat (above or below ground),larvae live above ground (except perhaps for pupation),,,,moderate,the trait was not extracted for this species
"species present, trait missing",Cyclophora punctaria,Larva Feeding Place,larvae are external feeders throughout their life,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Pterapherapteryx sexalata,Larval feeding on broadleaved trees and shrubs,caterpillars do not feed on woody deciduous plants in nature,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Agrochola circellaris,Larval feeding on lianas,"larvae not known to feed on the few lianas native to Central Europe (Clematis vitalba, Hedera helix) which are common in floodplain forests",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Arenostola phragmitidis,Larval Feeding on mosses and lychens,larvae feed on vascular plants,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Euplagia quadripunctaria,Development of female wings,females with wings well developed,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Malacosoma neustria,Larval Feeding on mosses and lychens,larvae feed on vascular plants,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Eudonia laetella,Larval feeding on broadleaved trees and shrubs,caterpillars do not feed on woody deciduous plants in nature,,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Habrosyne pyritoides,Hibernation in egg stage recorded,No,no hibernation in egg stage recorded,,,moderate,predicted a different value for this trait
"species present, trait missing",Agrotis exclamationis,Migration,"species not migratory, even though dispersive adults may show up far away from their breeding grounds",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Sideridis rivularis,Development of female wings,females with wings well developed,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Electrophaes corylata,Development of female wings,females with wings well developed,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Paradarisa consonaria,Larval feeding on herbs,larvae exclusively feed on woody plants,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Sabra harpagula,Larval Feeding on dead plant matter,larvae feed on living plant tissues,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Thera juniperata,Larval Feeding on softwood trees,"larval host range does not include softwood trees, which are characteristic elements of floodplain forest vegetation (viz. Populus, Salix, Alnus)",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Nycteola asiatica,Adult feeding,adult moths known to regularly visit rotting fruits an related non-floral nutrient sources.,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Horisme vitalbata,Larval Feeding on grasses,"larvae never feed on graminoid plants (Poaceae, Cyperaceae, Juncaceae)",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Mythimna l-album,Larva Feeding Place,larvae are external feeders throughout their life,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Oncocera semirubella,Adult feeding,adult moths known to regularly visit rotting fruits an related non-floral nutrient sources.,,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Leucania obsoleta,Hibernation in egg stage recorded,No,no hibernation in egg stage recorded,,,moderate,predicted a different value for this trait
"species present, trait missing",Acronicta cuspis,Migration,"species not migratory, even though dispersive adults may show up far away from their breeding grounds",,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Acrobasis tumidana,Hibernation in larval state recorded,Yes,hibernation in larval stage recorded,,,moderate,predicted a different value for this trait
"species present, trait missing",Schrankia costaestrigalis,Oviposition and larval feeding location,"oviposition and larval feeding predominately occur in the herb layer (<50 cm), thus prone to flood events",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Orthosia cerasi,Hibernation in pupal stage rceorded,Yes,,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Thalpophila matura,Hibernation in larval state recorded,Yes,hibernation in larval stage recorded,,,moderate,predicted a different value for this trait
"species present, trait missing",Siona lineata,Larval feeding on aquatic reed,larva on terrestrial plants,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Mesoligia furuncula,Migration,"species not migratory, even though dispersive adults may show up far away from their breeding grounds",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Lygephila pastinum,Larval feeding on broadleaved trees and shrubs,larvae only feed on trees and shrubs.,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Chloroclystis v-ata,Larval Feeding on softwood trees,"larval host range does not include softwood trees, which are characteristic elements of floodplain forest vegetation (viz. Populus, Salix, Alnus)",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Paracolax tristalis,Migration,"species not migratory, even though dispersive adults may show up far away from their breeding grounds",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Calliteara pudibunda,Larva Feeding Place,larvae are external feeders throughout their life,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Phycita roborella,Larval feeding on herbs,larvae exclusively feed on woody plants,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Horisme vitalbata,Larval habitat (above or below ground),larvae live above ground (except perhaps for pupation),,,,moderate,the trait was not extracted for this species
"species present, trait missing",Donacaula forficella,Pupation Site,"pupation site in or close to ground in low vegetation (<30 cm), thus prone to flood events.",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Udea ferrugalis,Larval feeding on herbs,larvae only feed on herbaceous plants.,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Caradrina morpheus,Larval Feeding on softwood trees,"larval host range does not include softwood trees, which are characteristic elements of floodplain forest vegetation (viz. Populus, Salix, Alnus)",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Trachonitis cristella,Larval feeding on broadleaved trees and shrubs,larvae only feed on trees and shrubs.,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Spilosoma lubricipeda,Larval feeding on lianas,"larvae not known to feed on the few lianas native to Central Europe (Clematis vitalba, Hedera helix) which are common in floodplain forests",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Alsophila aescularia,Larval feeding on broadleaved trees and shrubs,larvae only feed on trees and shrubs.,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Catocala electa,Larva Feeding Place,larvae are external feeders throughout their life,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Scopula nigropunctata,Pupation Site,"pupation site in or close to ground in low vegetation (<30 cm), thus prone to flood events.",,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Crocallis elinguaria,Hibernation in larval state recorded,Yes,hibernation in larval stage recorded,,,moderate,predicted a different value for this trait
"species present, trait missing",Laspeyria flexula,Larval socialization,larvae feed solitarily,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Orthosia cerasi,Larval Feeding on dead plant matter,larvae feed on living plant tissues,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Cepphis advenaria,Larval socialization,larvae feed solitarily,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Tyta luctuosa,Development of female wings,females with wings well developed,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Anania verbascalis,Oviposition and larval feeding location,"oviposition and larval feeding predominately occur in the herb layer (<50 cm), thus prone to flood events",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Chiasmia clathrata,Larval socialization,larvae feed solitarily,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Eupithecia assimilata,Pupation Site,"pupation site in or close to ground in low vegetation (<30 cm), thus prone to flood events.",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Drymonia dodonaea,Hibernation in pupal stage rceorded,Yes,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Agrotis ipsilon,Larval Feeding on mosses and lychens,larvae feed on vascular plants,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Ascotis selenaria,Hibernation as an adult recorded,No,,,,moderate,the trait was not extracted for this species
