cause,verbatimIdentification,measurementType,measurementValue,pred_collision_value,closest_pred_species,closest_score,severity,reasoning
"species present, trait missing",Parachironomus varus-type,Mentum ratio,2.9-3.9,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Diamesa,Plate type,Narrow ventromental plates,,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Endochironomus impar-type,Body size,>10,Size3,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Endochironomus tendens-type,Functional feeding guild,Shredders,Shr,,,moderate,predicted a different value for this trait
"species present, trait missing",Rheotanytarsus,Ventral type,"Long ventromental plates, close together",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Einfeldia natchitocheae-type,Mentum ratio,2-2.5,,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Polypedilum bergi-type,Functional feeding guild,Shredders,Shr,,,moderate,predicted a different value for this trait
"species present, trait missing",Dicrotendipes nervosus-type,Plate type,Fan-shaped plates,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Psilometriocnemus,Plate type,Ventromental plates narrow or foot-shaped,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Cladopelma lateralis-type,Teeth type,Cluster of outermost lateral teeth,,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Polypedilum nubeculosum-type,Body size,>5–10,Size2,,,moderate,predicted a different value for this trait
"species present, trait missing",Endochironomus impar-type,Mentum ratio,2.9-4-1,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Proposilocerus akamusi-type,Teeth type,One broad or several smaller median teeth,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Psectrocladius sordidellus-type,Plate type,Broadening/narrow ventromental plates,,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Pseudorthocladius,Body size,>5–10,Size2,,,moderate,predicted a different value for this trait
"species present, trait missing",Paratendipes albimanus-type,Plate type,Fan-shaped plates,,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Endochironomus tendens-type,Body size,>5–10,Size2,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Ablabesmyia,Functional feeding guild,Predator,Prd,,,moderate,predicted a different value for this trait
"species present, trait missing",Microtendipes pedellus-type,Plate type,Fan-shaped plates,,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Cricotopus sylvestris-type,Body size,>5–10,Size2,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Micropsectra radilias-type,Body size,>5–10,Size2,,,moderate,predicted a different value for this trait
"species present, trait missing",Endochironomus impar-type,Teeth type,3-4 median teeth higher than lateral ones,,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Polypedilum bergi-type,Body size,>5–10,Size2,,,moderate,predicted a different value for this trait
"species present, trait missing",Pseudorthocladius,Mentum ratio,ca. 3,,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Chironomini,Body size,<5,size1,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Eukiefferiella claripennis-type,Body size,>5–10,Size2,,,moderate,predicted a different value for this trait
"species present, trait missing",Corynoneura edwardsi-type,Mentum ratio,<2.2,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Endochironomus tendens-type,Mentum ratio,2.9-4-1,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Rheocricotopus effusus-type,Plate type,Broadening/narrow ventromental plates,,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Phaenopsectra typeA,Body size,>5–10,Size2,,,moderate,predicted a different value for this trait
"species present, trait missing",Polypedilum bergi-type,Mentum ratio,2.9-4.1,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Endochironomus tendens-type,Teeth type,3-4 median teeth higher than lateral ones,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Chironomini,Mentum ratio,2.9-3.9,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Eukiefferiella claripennis-type,Mentum ratio,<2.2,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Phaenopsectra typeA,Mentum ratio,2.9-4.1,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Polypedilum bergi-type,Teeth type,3-4 median teeth higher than lateral ones,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Chironomus plumosus-type,Mentum ratio,2.9-3.9,,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Glyptotendipes pallens-type,Functional feeding guild,Shredders,Shr,,,moderate,predicted a different value for this trait
"species present, trait missing",Chironomini,Teeth type,One/trifid median tooth,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Eukiefferiella fittkaui-type,Plate type,Broadening/narrow ventromental plates,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Dicrotendipes notatus-type,Plate type,Fan-shaped plates,,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Rheotanytarsus,Body size,>5–10,Size2,,,moderate,predicted a different value for this trait
"species present, trait missing",Chironomus plumosus-type,Teeth type,One/trifid median tooth,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Ablabesmyia,Teeth type,No teeth on mentum,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Cladotanytarsus mancus-type1,Ventral type,"Long ventromental plates, close together",,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Cladopelma laccophila-type,Body size,>5–10,Size2,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Synorthocladius,Functional feeding guild,Scrapers,Scr,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Sergentia coracina-type,Body size,>10,Size3,,,moderate,predicted a different value for this trait
"species present, trait missing",Metriocnemus terrester-type,Plate type,Narrow ventromental plates,,,,moderate,the trait was not extracted for this species
"species present, trait missing","Paratanytarsus penicillatus-type

",Ventral type,"Long ventromental plates, close together",,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Harnischia,Body size,>5–10,Size2,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Endochironomus albipennis-type,Body size,>10,Size3,,,moderate,predicted a different value for this trait
"species present, trait missing",Sergentia coracina-type,Mentum ratio,2.9-4-1,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Cricotopus cylindraceus-type,Plate type,Narrow ventromental plates,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Glyptotendipes pallens-type,Mentum ratio,2.9-3.9,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Microchironomus tener-type,Teeth type,One/trifid median tooth,,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Thienemanniella,Body size,<5,Size1,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Diamesa,Body size,>10,Size3,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Psectrocladius sordidellus-type,Functional feeding guild,Shredders,Shr,,,moderate,predicted a different value for this trait
"species present, trait missing",Chironomus anthracinus-type,Plate type,"Large, fan-shaped plates",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Pseudosmittia,Mentum ratio,ca. 3,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Glyptotendipes pallens-type,Teeth type,One/trifid median tooth,,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Dicrotendipes nervosus-type,Body size,>5–10,Size2,,,moderate,predicted a different value for this trait
"species present, trait missing",Micropsectra atrofasciata-type,Ventral type,"Long ventromental plates, close together",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Thienemanniella,Mentum ratio,<2.2,,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Psilometriocnemus,Body size,<5,Size1,,,moderate,predicted a different value for this trait
"species present, trait missing",Pseudosmittia,Teeth type,One broad median tooth or two median teeth,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Pseudosmittia,Teeth type,4-5 lateral teeth,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Brillia,Plate type,Boradening/narrow ventromental plates,,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Tanypus,Body size,>10,Size3,,,moderate,predicted a different value for this trait
"species present, trait missing",Rheocricotopus fucipes-type,Plate type,Broadening/narrow ventromental plates,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Heterotrissocladius marcidus-type,Plate type,Broadening/narrow ventromental plates,,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Psectrocladius sordidellus-type,Body size,>10,Size3,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Paratendipes albimanus-type,Body size,>5–10,Size2,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Procladius,Functional feeding guild,Predators,Prd,,,moderate,predicted a different value for this trait
"species present, trait missing",Paratendipes nudisquama-type,Mentum ratio,3.2-3.7,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Dicrotendipes nervosus-type,Mentum ratio,2-2.5,,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Sergentia longiventris-type,Body size,>10,Size3,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Microtendipes pedellus-type,Body size,>10,Size3,,,moderate,predicted a different value for this trait
"species present, trait missing",Stempellinella-Zavrelia,Plate type,"Broad, well separated ventromental plates",,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Paramerina,Body size,<5,Size1,,,moderate,predicted a different value for this trait
"species present, trait missing",Einfeldia dissidens-type,Plate type,"Large, fan-shaped plates",,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Cladotanytarsus mancus-type1,Body size,>5–10,Size2,,,moderate,predicted a different value for this trait
"species present, trait missing",Psectrocladius sordidellus-type,Mentum ratio,2.2-2.9,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Tribelos,Teeth type,3-4 median teeth higher than lateral ones,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Paratendipes nudisquama-type,Teeth type,3-4 median teeth higher than lateral ones,,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Micropsectra contracta-type,Body size,>5–10,Size2,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Rheocricotopus effusus-type,Body size,>5–10,Size2,,,moderate,predicted a different value for this trait
"species present, trait missing",Sergentia longiventris-type,Mentum ratio,2.9-4-1,,,,moderate,the trait was not extracted for this species
"species+trait present, value differs","Paratanytarsus penicillatus-type

",Body size,>5–10,Size2,,,moderate,predicted a different value for this trait
"species present, trait missing",Corynoneura,Plate type,Broadening/narrow ventromental plates,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Microtendipes pedellus-type,Mentum ratio,2.9-4-1,,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Macropelopia,Body size,>10,Size3,,,moderate,predicted a different value for this trait
"species present, trait missing",Psectrocladius sordidellus-type,Teeth type,Two median teeth,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Sergentia longiventris-type,Teeth type,3-4 median teeth higher than lateral ones,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Stictochironomus,Plate type,Fan-shaped plates,,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Polypedilum nubeculosum-type,Functional feeding guild,Shredders,Shr,,,moderate,predicted a different value for this trait
"species present, trait missing",Polypedilum sordens-type,Plate type,Fan-shaped plates,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Metriocnemus fuscipes-type,Plate type,Broadening/narrow ventromental plates,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Symposiocladius,Plate type,Broadening/narrow ventromental plates,,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Eukiefferiella fittkaui-type,Body size,>5–10,Size2,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Cricotopus sylvestris-type,Functional feeding guild,Scrapers,Scr,,,moderate,predicted a different value for this trait
"species present, trait missing",Parachironomus varus-type,Teeth type,One/trifid median tooth,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Tanytarsus chinyensis-type1,Plate type,"Broad, well separated ventromental plates",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Procladius,Teeth type,No teeth on mentum,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Tanytarsus pallidicornis-type,Plate type,"Broad, well separated ventromental plates",,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Micropsectra atrofasciata-type,Body size,>5–10,Size2,,,moderate,predicted a different value for this trait
"species present, trait missing",Limnophyes,Plate type,Ventromental plates narrow or foot-shaped,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Micropsectra insignilobus-type,Ventral type,"Long ventromental plates, close together",,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Phaenopsectra typeA,Functional feeding guild,Scrapers,Scr,,,moderate,predicted a different value for this trait
"species present, trait missing",Eukiefferiella fittkaui-type,Mentum ratio,<2.2,,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Metriocnemus terrester-type,Body size,>5–10,Size2,,,moderate,predicted a different value for this trait
"species present, trait missing",Smittia,Plate type,Ventromental plates narrow or foot-shaped,,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Cladotanytarsus mancus-type2,Body size,>5–10,Size2,,,moderate,predicted a different value for this trait
"species present, trait missing","Chaetocladius dentiforceps-type

",Plate type,Broadening/narrow ventromental plates,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Phaenopsectra flavipes-type,Plate type,Fan-shaped plates,,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Cricotopus cylindraceus-type,Body size,>5–10,Size2,,,moderate,predicted a different value for this trait
